Building_ID,Relative_Compactness,Building_Type,Surface_Area_m2,Wall_Area_m2,Roof_Area_m2,Overall_Height_m,Orientation,Glazing_Area_ratio,Glazing_Distribution,Heating_Load_kWh,Cooling_Load_kWh
BLD-0090,0.64,Low_Rise,784.0,343.0,220.5,3.5,East,0.1,Uniform,15.2,19.43
BLD-0091,0.64,Low_Rise,,343.0,220.5,3.5,South,0.1,Uniform,15.42,19.34
BLD-0092,0.64,Low_Rise,784.0,343.0,220.5,3.5,West,0.1,Uniform,15.21,19.32
BLD-0093,0.62,Low_Rise,808.5,367.5,220.5,3.5,North,0.1,Uniform,12.96,14.34
BLD-0094,0.62,Low_Rise,808.5,367.5,220.5,3.5,East,0.1,Uniform,12.97,14.5
BLD-0095,0.62,Low_Rise,808.5,367.5,,3.5,South,0.1,Uniform,12.93,14.33
BLD-0096,0.62,Low_Rise,808.5,367.5,,3.5,West,0.1,Uniform,13.02,14.27
BLD-0097,0.98,High_Rise,514.5,294.0,110.25,,North,0.1,North_Heavy,24.29,25.95
BLD-0098,,High_Rise,514.5,294.0,110.25,7.0,East,0.1,North_Heavy,24.31,25.63
BLD-0099,0.98,High_Rise,514.5,294.0,110.25,7.0,South,0.1,North_Heavy,24.13,26.13
BLD-0100,0.98,High_Rise,514.5,294.0,110.25,7.0,West,0.1,,24.25,25.89
BLD-0101,0.9,High_Rise,563.5,318.5,122.5,7.0,,0.1,North_Heavy,28.88,32.54
BLD-0102,0.9,High_Rise,563.5,318.5,122.5,7.0,East,0.1,North_Heavy,29.68,29.44
BLD-0103,0.9,High_Rise,563.5,318.5,122.5,7.0,South,0.1,North_Heavy,28.83,29.36
BLD-0104,0.9,High_Rise,563.5,318.5,122.5,7.0,West,0.1,North_Heavy,27.9,
BLD-0105,0.86,High_Rise,588.0,294.0,147.0,7.0,North,0.1,,26.48,30.91
BLD-0106,0.86,High_Rise,588.0,294.0,147.0,7.0,East,0.1,North_Heavy,27.02,25.63
BLD-0107,0.86,High_Rise,588.0,294.0,147.0,7.0,South,0.1,North_Heavy,26.33,27.36
BLD-0108,0.86,High_Rise,588.0,294.0,147.0,7.0,West,0.1,North_Heavy,25.36,31.9
BLD-0109,0.82,High_Rise,612.5,318.5,147.0,7.0,North,0.1,North_Heavy,23.75,27.38
BLD-0110,0.82,High_Rise,612.5,318.5,147.0,,East,0.1,North_Heavy,24.23,25.02
BLD-0111,0.82,High_Rise,612.5,318.5,147.0,7.0,South,0.1,North_Heavy,23.67,24.8
BLD-0112,0.82,High_Rise,612.5,,147.0,7.0,West,0.1,North_Heavy,22.79,28.79
BLD-0113,0.79,High_Rise,637.0,343.0,147.0,7.0,North,0.1,North_Heavy,35.65,41.07
BLD-0114,0.79,High_Rise,637.0,343.0,147.0,7.0,East,0.1,North_Heavy,37.26,34.62
BLD-0115,0.79,High_Rise,637.0,343.0,147.0,7.0,South,0.1,North_Heavy,36.97,33.87
BLD-0116,0.79,High_Rise,637.0,343.0,147.0,7.0,West,0.1,North_Heavy,36.03,42.86
BLD-0117,0.76,High_Rise,661.5,416.5,122.5,7.0,North,,North_Heavy,33.16,33.91
BLD-0118,0.76,High_Rise,661.5,416.5,122.5,7.0,East,0.1,North_Heavy,32.4,34.07
BLD-0119,0.76,High_Rise,661.5,416.5,122.5,7.0,South,0.1,North_Heavy,33.12,34.17
BLD-0120,0.76,High_Rise,661.5,416.5,122.5,7.0,West,0.1,,32.41,33.78
BLD-0121,,Low_Rise,686.0,245.0,220.5,3.5,North,,North_Heavy,10.42,13.39
BLD-0122,0.74,Low_Rise,686.0,245.0,220.5,3.5,East,0.1,North_Heavy,10.46,13.72
BLD-0123,0.74,Low_Rise,686.0,245.0,220.5,3.5,South,0.1,North_Heavy,10.32,13.57
BLD-0124,0.74,Low_Rise,686.0,245.0,220.5,3.5,West,,North_Heavy,,13.79
BLD-0125,0.71,Low_Rise,710.5,269.5,220.5,3.5,,0.1,North_Heavy,10.64,13.67
BLD-0126,0.71,Low_Rise,710.5,269.5,220.5,3.5,East,,,10.72,14.11
BLD-0127,0.71,Low_Rise,710.5,269.5,220.5,3.5,South,0.1,North_Heavy,10.55,13.8
BLD-0128,0.71,Low_Rise,710.5,,220.5,3.5,West,0.1,North_Heavy,10.68,14.21
BLD-0129,0.69,Low_Rise,735.0,294.0,220.5,,North,0.1,North_Heavy,11.45,13.2
BLD-0130,0.69,Low_Rise,735.0,294.0,220.5,3.5,,,North_Heavy,11.46,13.54
BLD-0131,0.69,Low_Rise,735.0,294.0,220.5,3.5,South,0.1,North_Heavy,11.32,
BLD-0132,0.69,Low_Rise,735.0,294.0,220.5,3.5,West,0.1,North_Heavy,11.49,13.51
BLD-0133,0.66,Low_Rise,759.5,318.5,220.5,3.5,North,0.1,North_Heavy,11.45,14.86
BLD-0134,0.66,Low_Rise,759.5,318.5,220.5,3.5,East,0.1,North_Heavy,11.42,14.75
BLD-0135,0.66,Low_Rise,759.5,,220.5,3.5,South,0.1,North_Heavy,,15.0
BLD-0136,0.66,Low_Rise,759.5,318.5,220.5,3.5,West,0.1,North_Heavy,,
BLD-0137,0.64,Low_Rise,784.0,343.0,220.5,3.5,North,0.1,North_Heavy,15.41,19.23
BLD-0138,0.64,Low_Rise,784.0,343.0,220.5,3.5,East,0.1,North_Heavy,15.18,19.34
BLD-0139,0.64,Low_Rise,784.0,,220.5,3.5,South,0.1,,,19.32
BLD-0140,0.64,Low_Rise,784.0,343.0,220.5,3.5,West,0.1,North_Heavy,15.19,19.3
BLD-0141,0.62,Low_Rise,808.5,367.5,220.5,3.5,North,0.1,North_Heavy,12.88,14.37
BLD-0142,0.62,Low_Rise,808.5,367.5,220.5,3.5,East,0.1,North_Heavy,,14.57
BLD-0143,0.62,Low_Rise,808.5,367.5,220.5,3.5,South,0.1,North_Heavy,12.97,14.27
BLD-0144,0.62,Low_Rise,808.5,367.5,220.5,3.5,West,0.1,North_Heavy,13.04,14.24
BLD-0145,0.98,High_Rise,514.5,294.0,,7.0,North,0.1,East_Heavy,24.28,25.68
BLD-0146,0.98,High_Rise,514.5,294.0,110.25,7.0,,0.1,East_Heavy,24.4,26.02
BLD-0147,0.98,High_Rise,514.5,294.0,110.25,7.0,South,0.1,East_Heavy,24.11,25.84
BLD-0148,0.98,High_Rise,514.5,294.0,110.25,7.0,West,0.1,East_Heavy,24.35,26.14
BLD-0149,,High_Rise,563.5,318.5,122.5,7.0,North,0.1,East_Heavy,28.07,34.14
BLD-0150,0.9,High_Rise,563.5,318.5,,7.0,East,0.1,East_Heavy,29.01,32.85
BLD-0151,0.9,High_Rise,563.5,318.5,122.5,,South,0.1,,29.62,30.08
BLD-0152,0.9,High_Rise,563.5,318.5,122.5,7.0,West,0.1,East_Heavy,29.05,29.67
BLD-0153,0.86,High_Rise,588.0,294.0,147.0,7.0,North,,,25.41,31.73
BLD-0154,0.86,High_Rise,588.0,294.0,147.0,7.0,East,,East_Heavy,26.47,
BLD-0155,0.86,High_Rise,,,147.0,7.0,,0.1,East_Heavy,26.89,25.9
BLD-0156,0.86,High_Rise,588.0,294.0,147.0,7.0,West,0.1,East_Heavy,,27.4
BLD-0157,0.82,High_Rise,612.5,318.5,147.0,7.0,North,0.1,East_Heavy,22.93,28.68
BLD-0158,0.82,High_Rise,612.5,318.5,147.0,7.0,East,0.1,East_Heavy,23.84,27.54
BLD-0159,0.82,High_Rise,612.5,318.5,147.0,,,,East_Heavy,24.17,25.35
BLD-0160,0.82,High_Rise,612.5,318.5,147.0,7.0,West,0.1,East_Heavy,23.87,24.93
BLD-0161,0.79,High_Rise,637.0,343.0,147.0,,North,0.1,East_Heavy,35.78,43.12
BLD-0162,0.79,High_Rise,637.0,343.0,147.0,7.0,East,0.1,East_Heavy,35.48,41.22
BLD-0163,0.79,High_Rise,637.0,343.0,147.0,7.0,South,0.1,East_Heavy,36.97,35.1
BLD-0164,0.79,High_Rise,637.0,343.0,147.0,7.0,West,0.1,East_Heavy,36.7,34.29
BLD-0165,0.76,High_Rise,661.5,416.5,122.5,7.0,North,0.1,East_Heavy,32.52,33.85
BLD-0166,0.76,High_Rise,661.5,416.5,122.5,7.0,East,0.1,East_Heavy,33.28,34.11
BLD-0167,0.76,High_Rise,661.5,416.5,122.5,7.0,South,0.1,East_Heavy,32.33,34.48
BLD-0168,0.76,High_Rise,661.5,416.5,122.5,7.0,West,0.1,East_Heavy,33.24,34.5
BLD-0169,0.74,Low_Rise,686.0,245.0,220.5,3.5,North,0.1,East_Heavy,10.39,13.6
BLD-0170,0.74,Low_Rise,686.0,245.0,220.5,3.5,East,0.1,East_Heavy,10.34,13.36
BLD-0171,0.74,Low_Rise,686.0,245.0,220.5,3.5,South,0.1,East_Heavy,10.35,13.65
BLD-0172,0.74,Low_Rise,686.0,245.0,220.5,3.5,,0.1,East_Heavy,10.38,13.49
BLD-0173,0.71,Low_Rise,710.5,269.5,220.5,3.5,North,0.1,East_Heavy,10.77,14.14
BLD-0174,0.71,Low_Rise,710.5,269.5,220.5,3.5,East,0.1,East_Heavy,10.68,
BLD-0175,0.71,Low_Rise,710.5,269.5,220.5,3.5,South,0.1,East_Heavy,10.68,14.3
BLD-0176,0.71,Low_Rise,710.5,269.5,220.5,3.5,West,0.1,,10.7,13.87
BLD-0177,0.69,Low_Rise,735.0,294.0,220.5,3.5,North,0.1,East_Heavy,11.22,14.44
BLD-0178,0.69,Low_Rise,735.0,294.0,220.5,3.5,East,0.1,East_Heavy,11.16,14.27
BLD-0179,0.69,Low_Rise,735.0,294.0,220.5,3.5,South,0.1,East_Heavy,11.1,14.67
BLD-0180,0.69,Low_Rise,735.0,294.0,220.5,3.5,West,0.1,East_Heavy,11.14,14.4
BLD-0181,0.66,Low_Rise,759.5,318.5,220.5,3.5,North,0.1,East_Heavy,11.59,13.46
BLD-0182,0.66,Low_Rise,759.5,318.5,220.5,3.5,East,0.1,East_Heavy,11.6,13.7
BLD-0183,0.66,Low_Rise,759.5,318.5,220.5,3.5,South,0.1,East_Heavy,11.53,13.59
BLD-0184,0.66,Low_Rise,759.5,318.5,220.5,3.5,West,0.1,,11.61,13.83
BLD-0185,0.64,Low_Rise,784.0,343.0,220.5,3.5,North,0.1,East_Heavy,15.16,19.14
BLD-0186,0.64,Low_Rise,784.0,343.0,220.5,3.5,East,0.1,East_Heavy,15.36,19.18
BLD-0187,0.64,Low_Rise,784.0,343.0,220.5,3.5,South,0.1,East_Heavy,15.12,19.37
BLD-0188,0.64,Low_Rise,784.0,343.0,220.5,3.5,West,0.1,East_Heavy,15.36,19.29
BLD-0189,0.62,Low_Rise,808.5,367.5,220.5,3.5,North,0.1,East_Heavy,12.68,14.09
BLD-0190,0.62,Low_Rise,808.5,367.5,220.5,3.5,East,0.1,East_Heavy,,14.23
BLD-0191,0.62,Low_Rise,808.5,367.5,,3.5,South,0.1,East_Heavy,12.71,14.14
BLD-0192,0.62,Low_Rise,808.5,367.5,220.5,3.5,West,0.1,East_Heavy,12.73,13.89
BLD-0193,0.98,High_Rise,514.5,294.0,,7.0,North,0.1,South_Heavy,24.38,25.91
BLD-0194,0.98,High_Rise,514.5,294.0,110.25,7.0,East,,South_Heavy,24.23,25.72
BLD-0195,0.98,High_Rise,514.5,294.0,,7.0,South,0.1,South_Heavy,,26.18
BLD-0196,0.98,High_Rise,514.5,294.0,110.25,7.0,West,0.1,South_Heavy,24.32,25.87
BLD-0197,0.9,High_Rise,563.5,318.5,122.5,7.0,North,0.1,South_Heavy,29.06,29.34
BLD-0198,0.9,High_Rise,563.5,318.5,122.5,7.0,East,0.1,South_Heavy,28.05,33.91
BLD-0199,0.9,High_Rise,563.5,318.5,122.5,7.0,South,,South_Heavy,28.86,32.83
BLD-0200,,High_Rise,563.5,318.5,122.5,7.0,West,0.1,South_Heavy,29.79,29.92
BLD-0201,0.86,High_Rise,588.0,,147.0,7.0,North,0.1,South_Heavy,26.44,27.17
BLD-0202,0.86,High_Rise,588.0,294.0,147.0,7.0,East,0.1,,25.37,31.76
BLD-0203,0.86,High_Rise,588.0,294.0,147.0,7.0,South,0.1,South_Heavy,26.33,31.06
BLD-0204,0.86,High_Rise,588.0,294.0,147.0,7.0,West,0.1,South_Heavy,27.03,25.81
BLD-0205,,High_Rise,612.5,318.5,147.0,7.0,North,0.1,South_Heavy,,24.61
BLD-0206,0.82,High_Rise,612.5,318.5,147.0,7.0,East,0.1,South_Heavy,22.8,28.61
BLD-0207,0.82,High_Rise,612.5,318.5,147.0,7.0,South,0.1,South_Heavy,23.59,27.57
BLD-0208,0.82,High_Rise,612.5,318.5,,7.0,West,0.1,South_Heavy,24.24,25.16
BLD-0209,,High_Rise,637.0,,147.0,7.0,North,,South_Heavy,36.86,34.25
BLD-0210,,High_Rise,637.0,343.0,147.0,7.0,East,0.1,South_Heavy,35.89,43.3
BLD-0211,0.79,High_Rise,637.0,343.0,147.0,7.0,,0.1,South_Heavy,35.45,41.86
BLD-0212,0.79,High_Rise,637.0,343.0,147.0,7.0,West,0.1,South_Heavy,37.1,35.29
BLD-0213,,High_Rise,661.5,416.5,122.5,7.0,North,0.1,South_Heavy,33.08,34.11
BLD-0214,,High_Rise,661.5,416.5,122.5,7.0,East,0.1,,32.38,33.62
BLD-0215,0.76,High_Rise,661.5,416.5,,7.0,South,0.1,South_Heavy,33.09,33.89
BLD-0216,0.76,High_Rise,661.5,416.5,122.5,7.0,West,,South_Heavy,32.31,34.05
BLD-0217,0.74,Low_Rise,686.0,245.0,220.5,3.5,North,0.1,South_Heavy,10.08,13.2
BLD-0218,0.74,Low_Rise,686.0,245.0,220.5,3.5,East,0.1,South_Heavy,10.15,13.36
BLD-0219,0.74,Low_Rise,686.0,,220.5,3.5,South,0.1,South_Heavy,10.07,13.21
BLD-0220,0.74,Low_Rise,686.0,245.0,220.5,,West,0.1,South_Heavy,10.14,13.53
BLD-0221,0.71,Low_Rise,710.5,269.5,220.5,3.5,North,0.1,South_Heavy,10.66,13.67
BLD-0222,0.71,Low_Rise,710.5,269.5,220.5,3.5,East,0.1,South_Heavy,10.68,14.12
BLD-0223,0.71,Low_Rise,710.5,269.5,220.5,3.5,,0.1,South_Heavy,10.53,
BLD-0224,0.71,Low_Rise,710.5,269.5,220.5,3.5,West,0.1,South_Heavy,10.72,14.2
BLD-0225,0.69,Low_Rise,735.0,294.0,220.5,3.5,North,,South_Heavy,11.18,14.29
BLD-0226,0.69,Low_Rise,735.0,294.0,220.5,3.5,,0.1,South_Heavy,11.22,14.49
BLD-0227,0.69,Low_Rise,735.0,294.0,220.5,3.5,South,0.1,South_Heavy,11.07,14.42
BLD-0228,0.69,Low_Rise,735.0,294.0,220.5,3.5,West,0.1,South_Heavy,11.2,14.73
BLD-0229,0.66,Low_Rise,759.5,318.5,220.5,3.5,North,0.1,South_Heavy,11.44,14.86
BLD-0230,0.66,Low_Rise,759.5,,220.5,3.5,East,0.1,South_Heavy,11.42,14.67
BLD-0231,0.66,Low_Rise,759.5,318.5,220.5,3.5,South,0.1,,11.33,15.0
BLD-0232,0.66,Low_Rise,759.5,318.5,220.5,3.5,West,0.1,South_Heavy,11.43,14.83
BLD-0233,0.64,Low_Rise,784.0,343.0,220.5,3.5,North,0.1,South_Heavy,15.4,19.24
BLD-0234,0.64,Low_Rise,784.0,343.0,220.5,3.5,East,0.1,South_Heavy,,19.25
BLD-0235,0.64,Low_Rise,784.0,343.0,220.5,3.5,South,0.1,South_Heavy,15.32,19.42
BLD-0236,0.64,Low_Rise,784.0,343.0,220.5,3.5,West,0.1,South_Heavy,15.16,19.48
BLD-0237,0.62,Low_Rise,808.5,367.5,220.5,3.5,North,0.1,South_Heavy,12.85,14.37
BLD-0238,0.62,Low_Rise,808.5,367.5,220.5,3.5,East,0.1,South_Heavy,13.04,14.34
BLD-0239,0.62,Low_Rise,808.5,367.5,220.5,3.5,South,0.1,South_Heavy,13.0,14.28
BLD-0240,0.62,Low_Rise,808.5,367.5,220.5,3.5,West,0.1,South_Heavy,,14.47
BLD-0241,0.98,High_Rise,514.5,294.0,110.25,7.0,,0.1,West_Heavy,24.35,25.64
BLD-0242,0.98,High_Rise,514.5,294.0,110.25,7.0,East,0.1,West_Heavy,24.33,25.98
BLD-0243,0.98,High_Rise,514.5,294.0,110.25,7.0,South,0.1,West_Heavy,24.03,25.88
BLD-0244,0.98,High_Rise,514.5,294.0,110.25,7.0,West,0.1,West_Heavy,24.26,26.18
BLD-0245,0.9,High_Rise,563.5,318.5,122.5,7.0,North,0.1,West_Heavy,29.83,
BLD-0246,0.9,High_Rise,563.5,318.5,122.5,7.0,,0.1,West_Heavy,29.08,29.52
BLD-0247,0.9,High_Rise,563.5,318.5,,7.0,South,0.1,West_Heavy,28.03,34.45
BLD-0248,0.9,High_Rise,563.5,318.5,122.5,7.0,West,0.1,,29.02,33.01
BLD-0249,0.86,High_Rise,588.0,294.0,147.0,7.0,,0.1,West_Heavy,27.03,25.82
BLD-0250,0.86,High_Rise,588.0,294.0,147.0,7.0,,0.1,West_Heavy,26.45,27.33
BLD-0251,0.86,High_Rise,588.0,294.0,147.0,7.0,South,,West_Heavy,25.36,32.04
BLD-0252,0.86,High_Rise,588.0,294.0,147.0,7.0,West,0.1,West_Heavy,26.45,31.28
BLD-0253,0.82,High_Rise,612.5,318.5,147.0,7.0,North,0.1,West_Heavy,24.37,25.11
BLD-0254,0.82,High_Rise,612.5,,147.0,7.0,East,0.1,West_Heavy,23.89,24.77
BLD-0255,0.82,High_Rise,612.5,318.5,147.0,7.0,,0.1,West_Heavy,22.89,28.88
BLD-0256,0.82,High_Rise,612.5,318.5,147.0,7.0,West,0.1,,23.86,27.69
BLD-0257,0.79,High_Rise,637.0,343.0,,7.0,North,0.1,West_Heavy,37.03,34.99
BLD-0258,0.79,High_Rise,637.0,343.0,147.0,7.0,East,0.1,West_Heavy,,34.18
BLD-0259,0.79,High_Rise,637.0,343.0,147.0,7.0,,,West_Heavy,36.77,43.14
BLD-0260,0.79,High_Rise,637.0,343.0,147.0,7.0,West,0.1,West_Heavy,35.48,
BLD-0261,0.76,High_Rise,661.5,416.5,122.5,7.0,North,0.1,,32.31,34.25
BLD-0262,0.76,High_Rise,661.5,416.5,122.5,7.0,East,0.1,West_Heavy,33.21,34.35
BLD-0263,0.76,High_Rise,661.5,416.5,122.5,7.0,South,0.1,West_Heavy,32.46,33.64
BLD-0264,0.76,High_Rise,661.5,416.5,122.5,7.0,West,0.1,West_Heavy,33.27,33.88
BLD-0265,0.74,Low_Rise,686.0,245.0,,3.5,North,0.1,West_Heavy,10.47,13.65
BLD-0266,,Low_Rise,686.0,245.0,220.5,3.5,East,0.1,West_Heavy,10.37,13.44
BLD-0267,0.74,Low_Rise,686.0,245.0,220.5,3.5,South,0.1,West_Heavy,10.34,13.72
BLD-0268,0.74,Low_Rise,686.0,245.0,220.5,3.5,West,0.1,West_Heavy,10.39,13.5
